ele_load(kW),heat_load(kW),cool_load(kW),solarRadiation(W/m-2),windSpeed(m/s),temperature(C)
1226.3168999999998,557.7115,162.7682,0.0,8.44,6.62
1211.1981,563.1507,160.76149999999998,0.0,8.66,6.44
1189.0524,559.5706,157.82209999999998,0.0,9.14,6.51
1166.9067,549.1488,154.8828,0.0,9.89,6.71
1181.4756,554.6702,156.8165,0.0,10.4,6.86
1196.0446000000002,556.105,158.7502,0.0,10.88,6.92
1210.6135,568.3496,160.6839,0.0,11.54,7.1
1251.7078999999999,581.9859,166.1384,0.0,11.15,7.42
1292.8020999999999,596.7112000000001,171.59279999999998,0.0,11.07,7.48
1315.2967999999998,592.2346,174.5785,43.23,10.85,6.6
1337.7915,590.2723,177.56419999999997,100.79,10.68,6.4
1360.2862,587.9035,180.5499,110.75,10.96,6.84
1335.8113999999998,571.2893,177.3014,117.35,11.51,7.18
1311.3367,560.8221,174.0528,119.67,11.88,7.05
1308.6468,559.6716,173.69580000000002,68.36,11.99,6.38
1305.9569000000001,557.0459,173.33880000000002,32.39,11.88,5.55
1303.267,554.4261,172.9818,0.0,12.01,4.94
1356.8483,575.6874,180.0936,0.0,12.43,4.51
1410.4295000000002,595.2342,187.2054,0.0,12.56,4.14
1427.842,609.035,189.5165,0.0,12.59,3.84
1445.2545,613.1967,191.8277,0.0,12.73,4.15
1462.6670000000001,615.6272,194.1388,0.0,12.58,4.63
1483.26,629.3218,196.8721,0.0,11.9,4.85
1503.8529,646.5538,199.6054,0.0,11.14,4.79
1759.5682000000002,774.3845999999999,233.5463,0.0,10.68,4.41
1786.0734999999997,798.1562999999999,237.0643,0.0,10.21,3.69
1843.3531,821.6708,244.667,0.0,9.72,3.02
1948.4407,850.9035,258.6152,0.0,9.42,2.52
2101.4161,939.0758000000001,278.9196,0.0,9.25,2.13
2255.154,992.4915,299.32509999999996,0.0,9.32,1.88
2399.9836999999998,1026.406,318.54830000000004,0.0,9.4,1.72
2528.3899,1072.7525,335.5915,0.0,9.34,1.6
2612.5196,1117.3016,346.75800000000004,0.0,9.16,1.47
2654.5071999999996,1111.2674,352.33099999999996,69.41,8.73,1.78
2676.6977,1090.3174000000001,355.2763,156.43,8.47,2.67
2678.4952999999996,1075.9196000000002,355.51489999999995,212.2,8.48,3.48
2658.0252,1055.6854999999998,352.7979,207.27,8.84,3.93
2621.7992,1038.3356999999999,347.9897,173.43,8.9,3.95
2568.8206,1023.1582,340.95779999999996,124.75,8.48,3.5
2493.0095,1015.4945,330.8955,44.7,7.17,2.39
2403.9552,976.5035,319.0754,0.0,6.18,1.05
2318.2743,949.5563999999999,307.703,0.0,5.26,0.02
2224.0525,915.9887,295.197,0.0,4.62,-0.87
2125.8327,877.938,282.1604,0.0,3.91,-1.81
2055.0504,851.0275999999999,272.7655,0.0,3.77,-2.41
1996.6195,829.0861,265.01,0.0,3.71,-2.84
1925.7587000000003,806.1884,255.6047,0.0,3.52,-3.22
1874.9598999999998,784.9222,248.8622,0.0,3.46,-3.21
1759.5682000000002,732.6397000000001,233.5463,0.0,3.49,-3.11
1786.0734999999997,747.7114,237.0643,0.0,3.42,-3.04
1843.3531,771.6906,244.667,0.0,3.36,-2.94
1948.4407,820.0863,258.6152,0.0,3.24,-2.92
2101.4161,884.4725999999999,278.9196,0.0,3.28,-2.85
2255.154,954.2754999999999,299.32509999999996,0.0,3.1,-2.81
2399.9836999999998,1018.2719000000001,318.54830000000004,0.0,3.0,-2.49
2528.3899,1067.0397,335.5915,0.0,2.63,-2.1
2612.5196,1099.5928,346.75800000000004,0.0,3.2,-1.75
2654.5071999999996,1111.2674,352.33099999999996,65.13,3.06,-1.11
2676.6977,1102.4132,355.2763,152.07,3.18,-0.21
2678.4952999999996,1091.0496,355.51489999999995,205.84,3.4,0.88
2658.0252,1070.6998999999998,352.7979,196.23,3.65,1.73
2621.7992,1056.1073999999999,347.9897,147.66,3.44,1.98
2568.8206,1043.4729,340.95779999999996,100.88,2.68,1.37
2493.0095,1018.3109999999999,330.8955,30.26,2.74,-0.36
2403.9552,984.6510000000001,319.0754,0.0,3.07,-1.38
