profile_id,month,hour,input_id,input_type,carrier_id,value,unit,price_id,remark
M01,1,1,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,1,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,1,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,1,waste_heat,recoverable_energy,heat,250,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,1,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,2,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,2,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,2,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,2,waste_heat,recoverable_energy,heat,268.182,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,2,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,3,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,3,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,3,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,3,waste_heat,recoverable_energy,heat,286.364,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,3,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,4,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,4,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,4,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,4,waste_heat,recoverable_energy,heat,304.545,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,4,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,5,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,5,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,5,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,5,waste_heat,recoverable_energy,heat,322.727,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,5,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,6,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,6,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,6,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,6,waste_heat,recoverable_energy,heat,340.909,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,6,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,7,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,7,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,7,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,7,waste_heat,recoverable_energy,heat,359.091,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,7,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,8,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,8,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,8,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,8,waste_heat,recoverable_energy,heat,377.273,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,8,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,9,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,9,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,9,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,9,waste_heat,recoverable_energy,heat,395.455,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,9,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,10,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,10,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,10,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,10,waste_heat,recoverable_energy,heat,413.636,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,10,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,11,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,11,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,11,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,11,waste_heat,recoverable_energy,heat,431.818,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,11,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,12,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,12,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,12,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,12,waste_heat,recoverable_energy,heat,450,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,12,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,13,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,13,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,13,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,13,waste_heat,recoverable_energy,heat,434.615,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,13,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,14,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,14,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,14,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
