profile_id,month,hour,demand_id,value,unit,remark
M01,1,1,electricity,1400,kW,1月典型日逐时电负荷
M01,1,1,cooling,400,kW,1月典型日逐时冷负荷
M01,1,1,steam,5,t/h,1月典型日逐时蒸汽负荷
M01,1,2,electricity,1400,kW,1月典型日逐时电负荷
M01,1,2,cooling,400,kW,1月典型日逐时冷负荷
M01,1,2,steam,5,t/h,1月典型日逐时蒸汽负荷
M01,1,3,electricity,1400,kW,1月典型日逐时电负荷
M01,1,3,cooling,400,kW,1月典型日逐时冷负荷
M01,1,3,steam,5,t/h,1月典型日逐时蒸汽负荷
M01,1,4,electricity,1400,kW,1月典型日逐时电负荷
M01,1,4,cooling,400,kW,1月典型日逐时冷负荷
M01,1,4,steam,5,t/h,1月典型日逐时蒸汽负荷
M01,1,5,electricity,1400,kW,1月典型日逐时电负荷
M01,1,5,cooling,400,kW,1月典型日逐时冷负荷
M01,1,5,steam,5.2,t/h,1月典型日逐时蒸汽负荷
M01,1,6,electricity,1500,kW,1月典型日逐时电负荷
M01,1,6,cooling,420,kW,1月典型日逐时冷负荷
M01,1,6,steam,5.5,t/h,1月典型日逐时蒸汽负荷
M01,1,7,electricity,1800,kW,1月典型日逐时电负荷
M01,1,7,cooling,450,kW,1月典型日逐时冷负荷
M01,1,7,steam,6.5,t/h,1月典型日逐时蒸汽负荷
M01,1,8,electricity,2200,kW,1月典型日逐时电负荷
M01,1,8,cooling,480,kW,1月典型日逐时冷负荷
M01,1,8,steam,7.5,t/h,1月典型日逐时蒸汽负荷
M01,1,9,electricity,2300,kW,1月典型日逐时电负荷
M01,1,9,cooling,500,kW,1月典型日逐时冷负荷
M01,1,9,steam,7.8,t/h,1月典型日逐时蒸汽负荷
M01,1,10,electricity,2400,kW,1月典型日逐时电负荷
M01,1,10,cooling,520,kW,1月典型日逐时冷负荷
M01,1,10,steam,8,t/h,1月典型日逐时蒸汽负荷
M01,1,11,electricity,2400,kW,1月典型日逐时电负荷
M01,1,11,cooling,520,kW,1月典型日逐时冷负荷
M01,1,11,steam,8,t/h,1月典型日逐时蒸汽负荷
M01,1,12,electricity,2100,kW,1月典型日逐时电负荷
M01,1,12,cooling,500,kW,1月典型日逐时冷负荷
M01,1,12,steam,7,t/h,1月典型日逐时蒸汽负荷
M01,1,13,electricity,2200,kW,1月典型日逐时电负荷
M01,1,13,cooling,530,kW,1月典型日逐时冷负荷
M01,1,13,steam,7.5,t/h,1月典型日逐时蒸汽负荷
M01,1,14,electricity,2400,kW,1月典型日逐时电负荷
M01,1,14,cooling,550,kW,1月典型日逐时冷负荷
M01,1,14,steam,7.8,t/h,1月典型日逐时蒸汽负荷
M01,1,15,electricity,2400,kW,1月典型日逐时电负荷
M01,1,15,cooling,540,kW,1月典型日逐时冷负荷
M01,1,15,steam,7.8,t/h,1月典型日逐时蒸汽负荷
M01,1,16,electricity,2400,kW,1月典型日逐时电负荷
M01,1,16,cooling,520,kW,1月典型日逐时冷负荷
M01,1,16,steam,7.5,t/h,1月典型日逐时蒸汽负荷
M01,1,17,electricity,2300,kW,1月典型日逐时电负荷
M01,1,17,cooling,480,kW,1月典型日逐时冷负荷
M01,1,17,steam,7.2,t/h,1月典型日逐时蒸汽负荷
M01,1,18,electricity,2200,kW,1月典型日逐时电负荷
M01,1,18,cooling,460,kW,1月典型日逐时冷负荷
M01,1,18,steam,7,t/h,1月典型日逐时蒸汽负荷
M01,1,19,electricity,2200,kW,1月典型日逐时电负荷
M01,1,19,cooling,450,kW,1月典型日逐时冷负荷
M01,1,19,steam,7,t/h,1月典型日逐时蒸汽负荷
M01,1,20,electricity,2200,kW,1月典型日逐时电负荷
M01,1,20,cooling,450,kW,1月典型日逐时冷负荷
M01,1,20,steam,6.8,t/h,1月典型日逐时蒸汽负荷
M01,1,21,electricity,2100,kW,1月典型日逐时电负荷
M01,1,21,cooling,430,kW,1月典型日逐时冷负荷
M01,1,21,steam,6.5,t/h,1月典型日逐时蒸汽负荷
M01,1,22,electricity,1900,kW,1月典型日逐时电负荷
M01,1,22,cooling,420,kW,1月典型日逐时冷负荷
M01,1,22,steam,6,t/h,1月典型日逐时蒸汽负荷
M01,1,23,electricity,1600,kW,1月典型日逐时电负荷
M01,1,23,cooling,400,kW,1月典型日逐时冷负荷
M01,1,23,steam,5.5,t/h,1月典型日逐时蒸汽负荷
M01,1,24,electricity,1400,kW,1月典型日逐时电负荷
M01,1,24,cooling,400,kW,1月典型日逐时冷负荷
M01,1,24,steam,5.2,t/h,1月典型日逐时蒸汽负荷
M02,2,1,electricity,1200,kW,2月典型日逐时电负荷
M02,2,1,cooling,420,kW,2月典型日逐时冷负荷
M02,2,1,steam,4,t/h,2月典型日逐时蒸汽负荷
M02,2,2,electricity,1200,kW,2月典型日逐时电负荷
M02,2,2,cooling,420,kW,2月典型日逐时冷负荷
M02,2,2,steam,4,t/h,2月典型日逐时蒸汽负荷
M02,2,3,electricity,1200,kW,2月典型日逐时电负荷
M02,2,3,cooling,420,kW,2月典型日逐时冷负荷
M02,2,3,steam,4,t/h,2月典型日逐时蒸汽负荷
M02,2,4,electricity,1200,kW,2月典型日逐时电负荷
M02,2,4,cooling,420,kW,2月典型日逐时冷负荷
M02,2,4,steam,4,t/h,2月典型日逐时蒸汽负荷
M02,2,5,electricity,1200,kW,2月典型日逐时电负荷
M02,2,5,cooling,420,kW,2月典型日逐时冷负荷
M02,2,5,steam,4.2,t/h,2月典型日逐时蒸汽负荷
M02,2,6,electricity,1300,kW,2月典型日逐时电负荷
M02,2,6,cooling,440,kW,2月典型日逐时冷负荷
M02,2,6,steam,4.5,t/h,2月典型日逐时蒸汽负荷
M02,2,7,electricity,1500,kW,2月典型日逐时电负荷
M02,2,7,cooling,450,kW,2月典型日逐时冷负荷
M02,2,7,steam,5.5,t/h,2月典型日逐时蒸汽负荷
M02,2,8,electricity,1900,kW,2月典型日逐时电负荷
M02,2,8,cooling,480,kW,2月典型日逐时冷负荷
M02,2,8,steam,6.5,t/h,2月典型日逐时蒸汽负荷
M02,2,9,electricity,2000,kW,2月典型日逐时电负荷
M02,2,9,cooling,500,kW,2月典型日逐时冷负荷
M02,2,9,steam,6.8,t/h,2月典型日逐时蒸汽负荷
M02,2,10,electricity,2100,kW,2月典型日逐时电负荷
M02,2,10,cooling,520,kW,2月典型日逐时冷负荷
M02,2,10,steam,7,t/h,2月典型日逐时蒸汽负荷
M02,2,11,electricity,2100,kW,2月典型日逐时电负荷
M02,2,11,cooling,520,kW,2月典型日逐时冷负荷
M02,2,11,steam,7,t/h,2月典型日逐时蒸汽负荷
M02,2,12,electricity,1800,kW,2月典型日逐时电负荷
