mode,cost_level,budget_label,method,annual_cost,matching_index,peak_grid_kW,annual_grid_purchase_MWh,curtailment_rate_%,self_sufficiency_%,grid_volatility_kW,total_ele_overflow_MWh,total_heat_overflow_MWh,total_cool_overflow_MWh
budget_increment,1,基准,Economic_only,421672.1809755605,,2992.5723528005506,19555.25687706277,0.0,21.914810130530327,532.803643825508,0.0,0.0,0.0
budget_increment,1,基准,Std,441229.920485377,506.5094367507029,2957.8642277576637,19234.17539858299,0.0,23.196905700446948,506.0740621161266,0.0,0.0,0.0
budget_increment,1,基准,Euclidean,455030.68344331736,2213.392521323904,2973.4069658991775,19367.463342568783,0.0,22.664679789078345,518.5506535195434,0.0,0.0,0.0
budget_increment,1,基准,Pearson,441516.4823479204,438.56444675893925,2938.3037996304092,19234.1298273976,0.0,23.19708766863514,506.13178627492783,0.0,0.0,0.0
budget_increment,1,基准,SSR,453910.5081771357,779.4643933398088,3058.3499771843844,19481.154827814804,0.0,22.210703588827528,538.0105124556649,0.0,0.0,0.0
budget_increment,2,+10%,Economic_only,421672.1809755605,,2992.5723528005506,19555.25687706277,0.0,21.914810130530327,532.803643825508,0.0,0.0,0.0
budget_increment,2,+10%,Std,486485.89593176055,470.9588302020017,2906.610357688812,18384.262700490282,0.0,26.590652702609084,462.2049765195625,0.0,0.0,0.0
budget_increment,2,+10%,Euclidean,477206.98923414014,2149.162685104017,2895.8248692451803,18729.97035468015,0.0,25.21022349186278,467.4281832034422,0.0,0.0,0.0
budget_increment,2,+10%,Pearson,484764.5672584376,152.55763690541946,2870.453247876324,18242.529840312443,0.0,27.156599617410837,433.0155122509117,0.0,0.0,0.0
budget_increment,2,+10%,SSR,460263.13223691983,777.1933593317524,3056.1516586268963,19419.831341206132,0.0,22.455571560923172,535.5297394419789,0.0,0.0,0.0
budget_increment,3,+30%,Economic_only,421672.1809755605,,2992.5723528005506,19555.25687706277,0.0,21.914810130530327,532.803643825508,0.0,0.0,0.0
budget_increment,3,+30%,Std,573424.1495474756,421.86072723803306,2729.129181981554,16500.890449972092,0.0,34.11105914375896,412.94305353937676,0.0,0.0,0.0
budget_increment,3,+30%,Euclidean,567221.4046453983,1929.924600661052,2754.1334403708424,16844.89326759854,0.0,32.73743743687659,371.9790900070906,0.0,0.0,0.0
budget_increment,3,+30%,Pearson,571581.0780178674,51.39555198986001,2678.5072102673234,16418.99289625625,0.0,34.43808046963311,356.6578569539295,0.0,0.0,0.0
budget_increment,3,+30%,SSR,566292.5843498622,688.4126403867115,2739.891590414107,17069.3629333025,0.0,31.841118018695546,381.26368352859464,0.0,0.0,0.0
budget_increment,4,+50%,Economic_only,421672.1809755605,,2992.5723528005506,19555.25687706277,0.0,21.914810130530327,532.803643825508,0.0,0.0,0.0
budget_increment,4,+50%,Std,637428.2447973235,417.5306136480155,2617.1983222371264,15373.509569764774,0.0,38.61275148355402,409.87041016273446,0.0,0.0,0.0
budget_increment,4,+50%,Euclidean,663319.5129356664,1729.0608304966906,2503.347216641483,15020.20800970828,0.0,40.02350356784651,343.24897396832534,0.0,0.0,0.0
budget_increment,4,+50%,Pearson,641092.1172880898,42.46677929608544,2535.5419883791524,15215.805040465528,0.0,39.24247413005381,343.7411311733904,0.0,0.0,0.0
budget_increment,4,+50%,SSR,632310.0847437467,624.0413621872656,2549.3251207970193,15477.86551157686,0.0,38.196052609096284,345.1369754545658,0.0,0.0,0.0
budget_increment,5,+100%,Economic_only,421672.1809755605,,2992.5723528005506,19555.25687706277,0.0,21.914810130530327,532.803643825508,0.0,0.0,0.0
budget_increment,5,+100%,Std,637428.2447973235,417.5306136480155,2617.1983222371264,15373.509569764774,0.0,38.61275148355402,409.87041016273446,0.0,0.0,0.0
budget_increment,5,+100%,Euclidean,868655.5559226787,1248.5103427744318,1919.5792866981972,10781.030378137008,0.07883851871818827,56.95076728688853,352.5807996989314,1.1504620276592985,0.0,0.0
budget_increment,5,+100%,Pearson,753988.1735355,42.44075664042091,2266.735190466423,12858.421525774982,0.0,48.655632980228816,343.4693669841584,0.0,0.0,0.0
budget_increment,5,+100%,SSR,857054.7143607261,443.8064507641735,2136.2603208895252,10786.911656681468,0.0,56.92728302612393,385.5900541475955,0.0,0.0,0.0
