window_id,hours,threshold_scope,account,adverse_break_even_lower_cny_per_year,adverse_break_even_upper_cny_per_year,threshold_lower_cny_per_kwh_th_year,threshold_upper_cny_per_kwh_th_year,threshold_lower_cny_per_kw_port_year,threshold_upper_cny_per_kw_port_year,allowed_use,formal_tac,interpretation
winter_day_20240101,24,combined_portfolio,,12893119.760087,12893119.760087,10.744266,10.744266,85.954132,85.954132,sensitivity_only,False,combined unallocated adverse non-fuel burden
winter_day_20240101,24,single_account_only,time_varying_electricity_settlement,12893119.760087,12893119.760087,10.744266,10.744266,85.954132,85.954132,sensitivity_only,False,selected account alone; all other omitted accounts zero
winter_day_20240101,24,single_account_only,carbon_compliance_allowance,12893119.760087,12893119.760087,10.744266,10.744266,85.954132,85.954132,sensitivity_only,False,selected account alone; all other omitted accounts zero
winter_day_20240101,24,single_account_only,chp_variable_om,12893119.760087,12893119.760087,10.744266,10.744266,85.954132,85.954132,sensitivity_only,False,selected account alone; all other omitted accounts zero
winter_day_20240101,24,single_account_only,tes_variable_om,12893119.760087,12893119.760087,10.744266,10.744266,85.954132,85.954132,sensitivity_only,False,selected account alone; all other omitted accounts zero
winter_fortnight_20240101,336,combined_portfolio,,15031096.496283,16330188.392595,12.525914,13.608490,100.207310,108.867923,sensitivity_only,False,combined unallocated adverse non-fuel burden
winter_fortnight_20240101,336,single_account_only,time_varying_electricity_settlement,15031096.496283,16330188.392595,12.525914,13.608490,100.207310,108.867923,sensitivity_only,False,selected account alone; all other omitted accounts zero
winter_fortnight_20240101,336,single_account_only,carbon_compliance_allowance,15031096.496283,16330188.392595,12.525914,13.608490,100.207310,108.867923,sensitivity_only,False,selected account alone; all other omitted accounts zero
winter_fortnight_20240101,336,single_account_only,chp_variable_om,15031096.496283,16330188.392595,12.525914,13.608490,100.207310,108.867923,sensitivity_only,False,selected account alone; all other omitted accounts zero
winter_fortnight_20240101,336,single_account_only,tes_variable_om,15031096.496283,16330188.392595,12.525914,13.608490,100.207310,108.867923,sensitivity_only,False,selected account alone; all other omitted accounts zero
