window_id,timestamp,period_index,annual_weight_per_hour,comparator_pcc_export_mw,candidate_pcc_export_mw,delta_pcc_export_mw,annualized_delta_export_energy_mwh
winter_day_20240101,2024-01-01T00:00:00,0,366.000000000,700.000000000,700.000000000,0.000000000,0.000000000
winter_day_20240101,2024-01-01T01:00:00,1,366.000000000,700.000000000,700.000000000,0.000000000,0.000000000
winter_day_20240101,2024-01-01T02:00:00,2,366.000000000,700.000000000,700.000000000,-0.000000000,-0.000000002
winter_day_20240101,2024-01-01T03:00:00,3,366.000000000,578.828320551,578.319957441,-0.508363109,-186.060897991
winter_day_20240101,2024-01-01T04:00:00,4,366.000000000,456.027411900,455.519010461,-0.508401439,-186.074926829
winter_day_20240101,2024-01-01T05:00:00,5,366.000000000,374.437856242,373.929481868,-0.508374374,-186.065020913
winter_day_20240101,2024-01-01T06:00:00,6,366.000000000,320.158586391,319.650097388,-0.508489003,-186.106975248
winter_day_20240101,2024-01-01T07:00:00,7,366.000000000,308.615332235,308.106638531,-0.508693704,-186.181895544
winter_day_20240101,2024-01-01T08:00:00,8,366.000000000,470.274363070,469.763534185,-0.510828885,-186.963371912
winter_day_20240101,2024-01-01T09:00:00,9,366.000000000,444.049457487,443.540304073,-0.509153413,-186.350149248
winter_day_20240101,2024-01-01T10:00:00,10,366.000000000,404.644277891,404.262209677,-0.382068214,-139.836966339
winter_day_20240101,2024-01-01T11:00:00,11,366.000000000,455.896868664,455.391358341,-0.505510323,-185.016778166
winter_day_20240101,2024-01-01T12:00:00,12,366.000000000,488.841429874,488.337432962,-0.503996913,-184.462870025
winter_day_20240101,2024-01-01T13:00:00,13,366.000000000,511.739049294,511.236308009,-0.502741285,-184.003310155
winter_day_20240101,2024-01-01T14:00:00,14,366.000000000,501.736106433,501.234323652,-0.501782781,-183.652497837
winter_day_20240101,2024-01-01T15:00:00,15,366.000000000,473.593231105,473.090367377,-0.502863729,-184.048124750
winter_day_20240101,2024-01-01T16:00:00,16,366.000000000,445.271183527,444.767550733,-0.503632795,-184.329602803
winter_day_20240101,2024-01-01T17:00:00,17,366.000000000,440.225617649,447.376318800,7.150701152,2617.156621515
winter_day_20240101,2024-01-01T18:00:00,18,366.000000000,513.397258295,449.296106573,-64.101151721,-23461.021529934
winter_day_20240101,2024-01-01T19:00:00,19,366.000000000,636.084649464,700.000000000,63.915350536,23393.018296179
winter_day_20240101,2024-01-01T20:00:00,20,366.000000000,700.000000000,700.000000000,0.000000000,0.000000000
