service,architecture,materiality_fraction,materiality_enabled,collapsed_architecture,objective_lower_bound_cny,objective_upper_bound_cny,relative_mip_gap,annual_total_cost_cny,annual_operating_cost_cny,annual_storage_capacity_cost_cny,annual_bess_cycle_cost_cny,annual_bess_variable_om_cost_cny,weighted_fuel_tce,weighted_curtailment_mwh,weighted_pcc_export_mwh,tes_salt_mass_t,tes_salt_reference_fraction,tes_ht_service_salt_mass_t,tes_mt_service_salt_mass_t,tes_electric_charge_input_capacity_mw,tes_steam_to_ht_input_capacity_mw,tes_steam_to_mt_input_capacity_mw,tes_electric_output_capacity_mw,tes_heat_output_capacity_mw,tes_installation_binary,electric_charge_installation_binary,steam_to_ht_installation_binary,steam_to_mt_installation_binary,electric_output_installation_binary,heat_output_installation_binary,bess_common_pcs_power_capacity_mw,bess_energy_capacity_mwh,tes_auxiliary_mwh,curtailment_margin_mwh,pcc_export_residual_mwh,formal_project_tac_ready,project_minimum_scale_claimed
natural,tes,0.0,false,tes,544095371.0036024,544207136.20698,0.00020537254280895075,544207136.20698,544194694.7187064,12441.488273590496,0.0,0.0,679512.8920394406,578514.502570776,4656918.485025815,0.9453053797027101,6.794054185578609e-05,0.4720698062091746,0.37851144055023966,0.08581963181775121,0.0,0.0,0.004064837083480725,0.007740687679245184,,,,,,,,,0.8891261246210226,0.0,0.0,false,false
natural,tes,0.01,true,tes,544150508.6397309,544693171.3532057,0.0009962722905568822,544693171.3532057,544222979.2550256,470192.0981800524,0.0,0.0,679548.209743308,578514.5025707759,4656918.485025816,141.6004487996658,0.01017704058925098,0.0,138.81562778578996,0.0,0.0,2.8839702195541834,0.0,2.8388267951058883,1.0,0,0,1,0,1,,,163.18928922499165,1.1641532182693481e-10,9.313225746154785e-10,false,false
natural,tes,0.05,true,no_storage,544847466.6058713,544847466.6058713,0.0,544847466.6058713,544847466.6058713,0.0,0.0,0.0,680327.9806781102,578514.5025707755,4656918.485025816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,0.0,5.820766091346741e-10,9.313225746154785e-10,false,false
natural,tes,0.1,true,no_storage,544847466.6058714,544847466.6058714,0.0,544847466.6058714,544847466.6058714,0.0,0.0,0.0,680327.9806781104,578514.5025707759,4656918.485025817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,0.0,1.1641532182693481e-10,1.862645149230957e-09,false,false
natural,hybrid,0.0,false,tes,544117583.8100005,544200905.3611315,0.0001531080715048019,544200905.3611315,544194685.4155276,6219.945603935123,0.0,0.0,679512.8804229548,578514.502570776,4656918.485025815,0.8848268665944048,6.359385872096383e-05,0.8848268665944048,0.30360608884928164,0.0344248040075694,0.0,0.0,0.004339716326394636,0.006208847763975372,,,,,,,0.0,0.0,0.728934492818627,0.0,0.0,false,false
natural,hybrid,0.01,true,tes,544109417.1397375,544571973.4909949,0.0008493943386256404,544571973.4909948,544220695.6667529,351277.82424191944,0.0,0.0,679545.3583232437,578493.345283001,4656918.485025816,139.13715638436642,0.01,0.0,73.34841351985979,0.0,0.0,1.5,0.0,1.5,1.0,0,0,1,0,1,0.0,0.0,1.1693780408815926,21.1572877750732,9.313225746154785e-10,false,false
natural,hybrid,0.05,true,no_storage,544847466.6058713,544847466.6058713,0.0,544847466.6058713,544847466.6058713,0.0,0.0,0.0,680327.9806781102,578514.502570776,4656918.485025814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9.313225746154785e-10,false,false
natural,hybrid,0.1,true,no_storage,544847466.6058713,544847466.6058713,0.0,544847466.6058713,544847466.6058713,0.0,0.0,0.0,680327.9806781102,578514.5025707758,4656918.485025815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2.3283064365386963e-10,0.0,false,false
strict_1pct,tes,0.0,false,tes,544267370.1144531,544810512.5240941,0.0009969381962265406,544810512.5240942,544146808.0942109,663704.4298833332,0.0,0.0,679453.0980373734,572729.3565550682,4656918.485025815,103.96017314770212,0.007471776472167659,69.33960277640983,69.45822989112966,3.149592246969803,0.0,0.0,0.5970604029576165,1.4204444218617596,,,,,,,,,98.37936095352981,-1.1641532182693481e-10,0.0,false,false
strict_1pct,tes,0.01,true,tes,544494897.3265914,545023838.0120155,0.0009704909189906452,545023838.0120153,543976181.2111903,1047656.8008250183,0.0,0.0,679240.0434672607,572729.3565550682,4656918.485025814,174.20248210966844,0.01252019853190287,174.20248210966844,174.20248210966847,4.621049815404696,0.0,0.0,1.4999999999999902,1.5000000000000222,1.0,1,0,0,1,1,,,101.92464287184234,-1.1641532182693481e-10,-9.313225746154785e-10,false,false
