model_period,block_id,block_kind,block_order,block_period,source_hour_index,source_timestamp,source_week_index,source_role,scored,annual_weight,heat_demand_mw,wind_cf,pv_cf,ambient_temperature_c,wind_available_mw,pv_available_mw,minimum_heat_constrained_net_chp_mw,positive_surplus_pressure_mw
1,representative_week_04,representative_week,1,1,504,2024-01-22T00:00:00,4,representative_scored,true,1,371.927777777778,0.275,0.0,-4.24,288.75,0.0,239.33175770387646,0.0
2,representative_week_04,representative_week,1,2,505,2024-01-22T01:00:00,4,representative_scored,true,1,372.048611111111,0.325,0.0,-4.33,341.25,0.0,239.3927712380285,0.0
3,representative_week_04,representative_week,1,3,506,2024-01-22T02:00:00,4,representative_scored,true,1,368.203240740741,0.368,0.0,-4.32,386.4,0.0,237.45109148834143,0.0
4,representative_week_04,representative_week,1,4,507,2024-01-22T03:00:00,4,representative_scored,true,1,376.110648148148,0.406,0.0,-3.88,426.3,0.0,241.44385456619563,0.0
5,representative_week_04,representative_week,1,5,508,2024-01-22T04:00:00,4,representative_scored,true,1,385.047222222222,0.437,0.0,-3.92,458.85,0.0,245.95628464182923,4.806284641829279
6,representative_week_04,representative_week,1,6,509,2024-01-22T05:00:00,4,representative_scored,true,1,380.50462962963,0.429,0.0,-3.95,450.45,0.0,243.66254978703404,0.0
7,representative_week_04,representative_week,1,7,510,2024-01-22T06:00:00,4,representative_scored,true,1,390.204166666667,0.398,0.0,-4.12,417.90000000000003,0.0,248.560230070648,0.0
8,representative_week_04,representative_week,1,8,511,2024-01-22T07:00:00,4,representative_scored,true,1,401.303703703704,0.365,0.0,-4.35,383.25,0.0,254.1648257844395,0.0
9,representative_week_04,representative_week,1,9,512,2024-01-22T08:00:00,4,representative_scored,true,1,417.701388888889,0.317,0.2133939927231875,-4.69,332.85,42.678798544637495,262.4446662677254,0.0
10,representative_week_04,representative_week,1,10,513,2024-01-22T09:00:00,4,representative_scored,true,1,426.101851851852,0.227,0.46774838292558746,-1.4,238.35,93.5496765851175,266.6863926171205,0.0
11,representative_week_04,representative_week,1,11,514,2024-01-22T10:00:00,4,representative_scored,true,1,401.775462962963,0.08,0.65638467899595,3.07,84.0,131.27693579919,254.40303571279614,0.0
12,representative_week_04,representative_week,1,12,515,2024-01-22T11:00:00,4,representative_scored,true,1,401.642592592593,0.028,0.7699510015006,6.9,29.400000000000002,153.99020030012,254.33594420206194,0.0
13,representative_week_04,representative_week,1,13,516,2024-01-22T12:00:00,4,representative_scored,true,1,394.224537037037,0.051,0.8197656982606,8.43,53.55,163.95313965212,250.59027424910732,0.0
14,representative_week_04,representative_week,1,14,517,2024-01-22T13:00:00,4,representative_scored,true,1,410.140277777778,0.065,0.8054131022127875,9.43,68.25,161.0826204425575,258.62676190077474,0.0
15,representative_week_04,representative_week,1,15,518,2024-01-22T14:00:00,4,representative_scored,true,1,420.118981481481,0.056,0.7269640632176876,10.11,58.800000000000004,145.39281264353752,263.6654044874297,0.0
16,representative_week_04,representative_week,1,16,519,2024-01-22T15:00:00,4,representative_scored,true,1,420.197685185185,0.037,0.5881854276921875,10.45,38.85,117.6370855384375,263.70514510354434,0.0
17,representative_week_04,representative_week,1,17,520,2024-01-22T16:00:00,4,representative_scored,true,1,419.726388888889,0.037,0.39220427790678747,9.97,38.85,78.4408555813575,263.46716894351783,0.0
18,representative_week_04,representative_week,1,18,521,2024-01-22T17:00:00,4,representative_scored,true,1,433.712037037037,0.05,0.16260024152348748,8.81,52.5,32.5200483046975,270.5290764270601,0.0
19,representative_week_04,representative_week,1,19,522,2024-01-22T18:00:00,4,representative_scored,true,1,429.913888888889,0.041,0.0,7.62,43.050000000000004,0.0,268.6112410470416,0.0
20,representative_week_04,representative_week,1,20,523,2024-01-22T19:00:00,4,representative_scored,true,1,403.983333333333,0.021,0.0,6.83,22.05,0.0,255.5178768789721,0.0
21,representative_week_04,representative_week,1,21,524,2024-01-22T20:00:00,4,representative_scored,true,1,398.110185185185,0.006,0.0,5.69,6.3,0.0,252.5522918435119,0.0
22,representative_week_04,representative_week,1,22,525,2024-01-22T21:00:00,4,representative_scored,true,1,384.841203703704,0.001,0.0,1.95,1.05,0.0,245.85225773494165,0.0
23,representative_week_04,representative_week,1,23,526,2024-01-22T22:00:00,4,representative_scored,true,1,391.542592592593,0.0,0.0,-2.19,0.0,0.0,249.2360543129242,0.0
24,representative_week_04,representative_week,1,24,527,2024-01-22T23:00:00,4,representative_scored,true,1,421.381018518518,0.0,0.0,-3.97,0.0,0.0,264.30265695524184,0.0
25,representative_week_04,representative_week,1,25,528,2024-01-23T00:00:00,4,representative_scored,true,1,400.914351851852,0.007,0.0,-4.44,7.3500000000000005,0.0,253.96822661883786,0.0
26,representative_week_04,representative_week,1,26,529,2024-01-23T01:00:00,4,representative_scored,true,1,399.43287037037,0.024,0.0,-4.58,25.2,0.0,253.22016796256509,0.0
27,representative_week_04,representative_week,1,27,530,2024-01-23T02:00:00,4,representative_scored,true,1,408.984259259259,0.043,0.0,-4.67,45.15,0.0,258.04304238055187,0.0
28,representative_week_04,representative_week,1,28,531,2024-01-23T03:00:00,4,representative_scored,true,1,408.406481481481,0.052,0.0,-4.22,54.599999999999994,0.0,257.7512995046055,0.0
29,representative_week_04,representative_week,1,29,532,2024-01-23T04:00:00,4,representative_scored,true,1,411.88287037037,0.058,0.0,-4.29,60.900000000000006,0.0,259.50666589521495,0.0
30,representative_week_04,representative_week,1,30,533,2024-01-23T05:00:00,4,representative_scored,true,1,408.406944444444,0.071,0.0,-4.31,74.55,0.0,257.7515332729356,0.0
31,representative_week_04,representative_week,1,31,534,2024-01-23T06:00:00,4,representative_scored,true,1,408.925,0.106,0.0,-4.32,111.3,0.0,258.0131200343011,0.0
32,representative_week_04,representative_week,1,32,535,2024-01-23T07:00:00,4,representative_scored,true,1,409.363425925926,0.18,0.0,-4.35,189.0,0.0,258.23449864289177,0.0
33,representative_week_04,representative_week,1,33,536,2024-01-23T08:00:00,4,representative_scored,true,1,412.721296296296,0.321,0.20216579864568748,-4.41,337.05,40.43315972913749,259.9300203409992,0.0
34,representative_week_04,representative_week,1,34,537,2024-01-23T09:00:00,4,representative_scored,true,1,396.964814814815,0.429,0.4484764495674875,-0.64,450.45,89.6952899134975,251.9739489948814,92.11923890837886
35,representative_week_04,representative_week,1,35,538,2024-01-23T10:00:00,4,representative_scored,true,1,399.959259259259,0.276,0.63226731498875,4.45,289.8,126.45346299775,253.48596255387193,0.0
36,representative_week_04,representative_week,1,36,539,2024-01-23T11:00:00,4,representative_scored,true,1,409.036111111111,0.43,0.7452634558336,7.8,451.5,149.05269116672,258.06922443352147,158.62191560024144
37,representative_week_04,representative_week,1,37,540,2024-01-23T12:00:00,4,representative_scored,true,1,420.614814814815,0.712,0.7966946455375875,9.04,747.5999999999999,159.33892910751752,263.91577036895126,470.8546994764688
38,representative_week_04,representative_week,1,38,541,2024-01-23T13:00:00,4,representative_scored,true,1,419.512962962963,0.739,0.7838662652147499,9.96,775.95,156.77325304295,263.35940174334854,496.0826547862987
39,representative_week_04,representative_week,1,39,542,2024-01-23T14:00:00,4,representative_scored,true,1,429.623611111111,0.714,0.70805619072,10.39,749.6999999999999,141.611238144,268.46466830407803,459.7759064480779
40,representative_week_04,representative_week,1,40,543,2024-01-23T15:00:00,4,representative_scored,true,1,436.639814814815,0.689,0.5691259751231875,10.44,723.4499999999999,113.82519502463751,272.0074273465187,409.2826223711561
41,representative_week_04,representative_week,1,41,544,2024-01-23T16:00:00,4,representative_scored,true,1,444.271759259259,0.617,0.369747324828,10.01,647.85,73.9494649656,327.44174644632284,349.2412114119229
42,representative_week_04,representative_week,1,42,545,2024-01-23T17:00:00,4,representative_scored,true,1,423.5875,0.619,0.1415914672110875,8.95,649.95,28.318293442217502,265.4167968164279,243.68509025864546
43,representative_week_04,representative_week,1,43,546,2024-01-23T18:00:00,4,representative_scored,true,1,408.549074074074,0.637,0.0,6.5,668.85,0.0,257.82330015027196,226.67330015027198
44,representative_week_04,representative_week,1,44,547,2024-01-23T19:00:00,4,representative_scored,true,1,407.356481481481,0.642,0.0,6.06,674.1,0.0,257.22111293197236,231.32111293197238
45,representative_week_04,representative_week,1,45,548,2024-01-23T20:00:00,4,representative_scored,true,1,381.597222222222,0.64,0.0,6.39,672.0,0.0,244.2142430460347,216.21424304603465
46,representative_week_04,representative_week,1,46,549,2024-01-23T21:00:00,4,representative_scored,true,1,373.751388888889,0.625,0.0,5.66,656.25,0.0,240.2525711560818,196.50257115608179
47,representative_week_04,representative_week,1,47,550,2024-01-23T22:00:00,4,representative_scored,true,1,374.996759259259,0.6,0.0,4.69,630.0,0.0,240.88140796401066,170.8814079640107
48,representative_week_04,representative_week,1,48,551,2024-01-23T23:00:00,4,representative_scored,true,1,397.393055555556,0.603,0.0,3.86,633.15,0.0,252.1901847002103,185.34018470021033
49,representative_week_04,representative_week,1,49,552,2024-01-24T00:00:00,4,representative_scored,true,1,405.805555555556,0.613,0.0,3.21,643.65,0.0,256.4379890261876,200.08798902618764
50,representative_week_04,representative_week,1,50,553,2024-01-24T01:00:00,4,representative_scored,true,1,393.956018518518,0.617,0.0,1.99,647.85,0.0,250.45468861765767,198.3046886176577
51,representative_week_04,representative_week,1,51,554,2024-01-24T02:00:00,4,representative_scored,true,1,403.476851851852,0.617,0.0,0.54,647.85,0.0,255.2621343258591,203.1121343258592
52,representative_week_04,representative_week,1,52,555,2024-01-24T03:00:00,4,representative_scored,true,1,420.768981481481,0.592,0.0,-2.13,621.6,0.0,263.99361522286927,185.5936152228693
53,representative_week_04,representative_week,1,53,556,2024-01-24T04:00:00,4,representative_scored,true,1,414.970833333333,0.552,0.0,-1.84,579.6,0.0,261.0659006568829,140.66590065688297
54,representative_week_04,representative_week,1,54,557,2024-01-24T05:00:00,4,representative_scored,true,1,417.587037037037,0.536,0.0,-1.32,562.8000000000001,0.0,262.38692549019424,125.18692549019431
55,representative_week_04,representative_week,1,55,558,2024-01-24T06:00:00,4,representative_scored,true,1,426.660185185185,0.533,0.0,-1.06,559.65,0.0,266.968317223203,126.6183172232029
56,representative_week_04,representative_week,1,56,559,2024-01-24T07:00:00,4,representative_scored,true,1,421.3,0.517,0.0,-1.11,542.85,0.0,264.2617474974772,107.11174749747715
57,representative_week_04,representative_week,1,57,560,2024-01-24T08:00:00,4,representative_scored,true,1,453.589351851852,0.448,0.1118700800223875,-0.32,470.40000000000003,22.3740160044775,332.1465678576168,124.9205838620943
58,representative_week_04,representative_week,1,58,561,2024-01-24T09:00:00,4,representative_scored,true,1,444.408796296296,0.25,0.23741549978394996,2.13,262.5,47.48309995678999,327.510941872028,0.0
59,representative_week_04,representative_week,1,59,562,2024-01-24T10:00:00,4,representative_scored,true,1,449.31712962963,0.177,0.4617058823967499,4.09,185.85,92.34117647934998,329.98935370759114,0.0
60,representative_week_04,representative_week,1,60,563,2024-01-24T11:00:00,4,representative_scored,true,1,450.054166666667,0.152,0.547453029228,6.56,159.6,109.4906058456,330.36151288908667,0.0
61,representative_week_04,representative_week,1,61,564,2024-01-24T12:00:00,4,representative_scored,true,1,441.778240740741,0.107,0.5747526552841875,7.82,112.35,114.9505310568375,326.18267022048445,0.0
