original_week_index,week_start,week_end,week_roles,assigned_representative_week_index,representative_start,representative_roles,assignment_distance_squared,representative_weight_weeks,weekly_peak_heat_mw,weekly_mean_wind_cf,weekly_positive_surplus_pressure_mwh,weekly_peak_surplus_pressure_mw
1,2024-01-01T00:00:00,2024-01-07T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,243.93789958986258,10,412.000462962963,0.2998571428571428,13513.832033508723,460.2910901949326
2,2024-01-08T00:00:00,2024-01-14T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,296.81195527722633,10,387.531481481481,0.24601190476190476,8748.610172452127,485.9389846942788
3,2024-01-15T00:00:00,2024-01-21T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,272.47734228019374,10,414.496759259259,0.2831845238095238,6400.095689834544,456.3958876938541
4,2024-01-22T00:00:00,2024-01-28T23:00:00,peak_heat_low_wind_extreme,4,2024-01-22T00:00:00,peak_heat_low_wind_extreme,0.0,1,453.589351851852,0.1833154761904762,5340.217722823019,496.0826547862987
5,2024-01-29T00:00:00,2024-02-04T23:00:00,high_vre_low_absorption_extreme,5,2024-01-29T00:00:00,high_vre_low_absorption_extreme,0.0,3,416.961574074074,0.501,30859.951098182573,665.1164621528276
6,2024-02-05T00:00:00,2024-02-11T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,323.8402613232591,10,366.30787037037,0.28141666666666665,6456.688577157342,480.05533414035517
7,2024-02-12T00:00:00,2024-02-18T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,376.3265054537961,10,293.171759259259,0.2936547619047619,14305.988531134486,563.0598041576075
8,2024-02-19T00:00:00,2024-02-25T23:00:00,pam_medoid,8,2024-02-19T00:00:00,pam_medoid,0.0,10,410.349074074074,0.2054642857142857,1073.004193231131,139.66906378675594
9,2024-02-26T00:00:00,2024-03-03T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,296.8501040841712,10,402.610185185185,0.17904761904761907,2181.0419611722436,370.5993725764931
10,2024-03-04T00:00:00,2024-03-10T23:00:00,,48,2024-11-25T00:00:00,pam_medoid,289.39934165305095,4,389.052777777778,0.40924404761904765,18987.031075457093,606.3327651748789
11,2024-03-11T00:00:00,2024-03-17T23:00:00,,8,2024-02-19T00:00:00,pam_medoid,508.90419110136224,10,312.893518518519,0.21498214285714284,5175.234372741358,546.4187980479508
12,2024-03-18T00:00:00,2024-03-24T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,679.5759078777766,21,105.052777777778,0.30415476190476187,12089.097623649279,566.2074892595133
13,2024-03-25T00:00:00,2024-03-31T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,494.02948407261636,21,98.166666666667,0.3479285714285714,12137.383953751712,570.5556373736681
14,2024-04-01T00:00:00,2024-04-07T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,366.60847394434256,21,101.676851851852,0.40235119047619045,10187.0924486292,378.8825914633924
15,2024-04-08T00:00:00,2024-04-14T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,360.3170690220329,21,111.496759259259,0.3810595238095238,11113.951522611427,419.69302673498873
16,2024-04-15T00:00:00,2024-04-21T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,472.5384804568981,21,108.793055555556,0.552779761904762,26014.310705378484,476.70884188861487
17,2024-04-22T00:00:00,2024-04-28T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,464.04631449328383,21,106.674537037037,0.3843392857142857,12703.463373540138,546.6235053475086
18,2024-04-29T00:00:00,2024-05-05T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,302.2088049603209,21,84.015740740741,0.47101190476190474,13043.420366893213,427.45441250141243
19,2024-05-06T00:00:00,2024-05-12T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,410.7986821324097,21,101.92962962963,0.41686904761904764,13350.279614083993,459.8731490283278
20,2024-05-13T00:00:00,2024-05-19T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,338.9737389658508,21,95.398148148148,0.5316428571428572,18597.013679074968,505.37755021752787
21,2024-05-20T00:00:00,2024-05-26T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,251.52001394343512,21,104.471759259259,0.350827380952381,16447.30488858173,559.1029165252548
22,2024-05-27T00:00:00,2024-06-02T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,208.49163983443182,21,81.138425925926,0.3634404761904762,5146.863159647934,303.790683191015
23,2024-06-03T00:00:00,2024-06-09T23:00:00,,39,2024-09-23T00:00:00,pam_medoid,268.7283870704294,21,103.364351851852,0.27747023809523813,4917.308512379201,378.34068319101493
24,2024-06-10T00:00:00,2024-06-16T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,274.49911627623317,13,84.294444444444,0.2560952380952381,2434.470965574227,204.04068319101498
25,2024-06-17T00:00:00,2024-06-23T23:00:00,,29,2024-07-15T00:00:00,pam_medoid,265.15849973404704,13,103.55,0.40578571428571425,4824.1168989601465,325.06877850495243
