Running HiGHS 1.15.1 (git hash: 04024d7): Copyright (c) 2026 under MIT licence terms
Includes third-party software components, see THIRD_PARTY_NOTICES.md for full details
LP has 495630 rows; 539546 cols; 1985956 nonzeros
Coefficient ranges:
  Matrix  [2e-08, 2e+04]
  Cost    [1e+02, 5e+05]
  Bound   [9e-01, 6e+04]
  RHS     [2e-01, 3e+05]
Solving LP without presolve or useful basis
Using dual simplex solver
  Iteration        Objective     Infeasibilities num(sum)
          0     0.0000000000e+00 Ph1: 0(0) 0.4s
      13343    -2.1045192133e+08 Pr: 71573(6.58744e+06); Du: 0(7.73374e-07) 5.9s
      15763    -2.1019226110e+08 Pr: 73728(7.95971e+06); Du: 0(7.36288e-07) 11.1s
      17682    -2.0952781272e+08 Pr: 75993(1.35814e+07); Du: 0(5.66846e-07) 16.2s
      19858    -2.0900671580e+08 Pr: 78502(9.81972e+06); Du: 0(1.0925e-06) 22.2s
      21555    -2.0896789266e+08 Pr: 80370(1.06057e+07); Du: 0(1.61798e-06) 27.7s
      23445    -2.0894304955e+08 Pr: 82171(1.13218e+07); Du: 0(8.34774e-07) 33.5s
      26370    -2.0862470300e+08 Pr: 83989(4.83741e+08); Du: 0(4.21394e-07) 38.6s
      29755    -1.9256811154e+08 Pr: 92130(2.47498e+07); Du: 0(7.63222e-08) 43.9s
      32131    -1.5049313155e+08 Pr: 90164(2.08567e+07); Du: 0(1.72857e-07) 49.9s
      33844    -1.2801983337e+08 Pr: 90164(2.05199e+07); Du: 0(1.72857e-07) 56.9s
      35695    -1.2420295446e+08 Pr: 92212(2.05364e+07); Du: 0(1.72857e-07) 64.0s
      37306    -1.2148043239e+08 Pr: 93579(2.02676e+07); Du: 0(1.72857e-07) 70.3s
      38583    -1.1864362476e+08 Pr: 95107(1.99698e+07); Du: 0(7.63222e-08) 76.6s
      40109    -1.1510181198e+08 Pr: 96387(2.00826e+07); Du: 0(1.14256e-07) 83.2s
      52652     4.2104141132e+06 Pr: 92245(4.83108e+08); Du: 0(1.74164e-07) 88.4s
